,Sample_ID,Average_Alignment_start,Average_Alignment_end,Median_Alignment_start,Median_Alignment_end,Min_Alignment_start,Max_Alignment_end,Coverage_based_HV_region_start,Coverage_based_HV_region_end,Predicted_HV_region_start,Predicted_HV_region_end,Coverage_HV_region_start,Coverage_HV_region_end,Warnings,Cov_V1,Cov_V2,Cov_V3,Cov_V4,Cov_V5,Cov_V6,Cov_V7,Cov_V8,Cov_V9,Threshold,Correct_Assignment_start,Correct_Assignment_end,Platform_2
1,ERR10042760,8,537,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
2,ERR10042761,8,535,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
3,ERR10042762,7,537,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
4,ERR10042763,7,531,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
5,ERR10042764,9,532,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
6,ERR10042765,9,540,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
7,ERR10042766,8,533,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
8,ERR10042767,7,533,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
9,ERR10042768,7,535,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
10,ERR10042769,7,535,7,534,0,1540,V1,V3,V1,V4,0.93,0.17,V4 below threshold of 0.5,0.93,1,1,0.17,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
11,ERR10042770,340,804,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
12,ERR10042771,340,804,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
13,ERR10042772,339,802,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
14,ERR10042773,341,804,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
15,ERR10042774,341,805,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
16,ERR10042775,342,805,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
17,ERR10042776,341,804,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
18,ERR10042777,344,804,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
19,ERR10042778,341,804,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
20,ERR10042779,342,804,339,803,0,1540,V3,V4,V3,V4,0.78,0.98,NA,0,0,0.78,0.98,0,0,0,0,0,0.5,FALSE,TRUE,Illumina
21,ERR10042780,512,806,513,804,0,1540,V4,V4,V4,V4,0.88,0.88,NA,0,0,0,0.88,0,0,0,0,0,0.5,TRUE,TRUE,Illumina
22,ERR10042781,510,806,513,804,0,1540,V4,V4,V4,V4,0.88,0.88,NA,0,0,0,0.88,0,0,0,0,0,0.5,TRUE,TRUE,Illumina
23,ERR10042782,511,804,513,804,0,1540,V4,V4,V4,V4,0.88,0.88,NA,0,0,0,0.88,0,0,0,0,0,0.5,TRUE,TRUE,Illumina
24,ERR10042783,512,806,513,804,0,1540,V4,V4,V4,V4,0.88,0.88,NA,0,0,0,0.88,0,0,0,0,0,0.5,TRUE,TRUE,Illumina
25,ERR10042784,512,805,513,804,0,1540,V4,V4,V4,V4,0.88,0.88,NA,0,0,0,0.88,0,0,0,0,0,0.5,TRUE,TRUE,Illumina
26,ERR10042785,512,805,513,804,0,1540,V4,V4,V4,V4,0.88,0.88,NA,0,0,0,0.88,0,0,0,0,0,0.5,TRUE,TRUE,Illumina
